,Date,HomeTeam,AwayTeam,Final_HomeGoals,Final_AwayGoals,Final_Result,Half_HomeGoals,Half_AwayGoals,Half_Result,Referee,Home_Shots,Away_Shots,HomeShots_Target,AwayShots_Target,Home_Fouls,Away_Fouls,Home_Corner,Away_Corner,Home_Yellows,Away_Yellows,Home_Reds,Away_Reds,Season
0,2007-11-08,Aston Villa,Liverpool,1.0,2.0,A,0.0,1.0,A,M Riley,10.0,17.0,6.0,7.0,18.0,11.0,4.0,2.0,4.0,2.0,0.0,0.0,0
7,2007-12-08,Arsenal,Fulham,2.0,1.0,H,0.0,1.0,A,P Dowd,19.0,12.0,13.0,9.0,6.0,19.0,14.0,4.0,1.0,5.0,0.0,0.0,0
24,2007-08-19,Blackburn,Arsenal,1.0,1.0,D,0.0,1.0,A,A Wiley,9.0,10.0,4.0,3.0,19.0,15.0,5.0,4.0,4.0,4.0,1.0,0.0,0
25,2007-08-19,Liverpool,Chelsea,1.0,1.0,D,1.0,0.0,H,R Styles,18.0,6.0,8.0,2.0,11.0,16.0,5.0,2.0,4.0,5.0,0.0,0.0,0
27,2007-08-25,Arsenal,Man City,1.0,0.0,H,0.0,0.0,D,C Foy,16.0,8.0,10.0,4.0,8.0,9.0,8.0,2.0,0.0,1.0,0.0,0.0,0
33,2007-08-25,Sunderland,Liverpool,0.0,2.0,A,0.0,1.0,A,M Halsey,7.0,17.0,2.0,12.0,12.0,12.0,6.0,4.0,1.0,1.0,0.0,0.0,0
39,2007-01-09,Liverpool,Derby,6.0,0.0,H,2.0,0.0,H,A Wiley,20.0,8.0,10.0,3.0,10.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0
44,2007-02-09,Arsenal,Portsmouth,3.0,1.0,H,2.0,0.0,H,M Halsey,10.0,15.0,8.0,10.0,6.0,12.0,8.0,5.0,1.0,2.0,1.0,0.0,0
50,2007-09-15,Portsmouth,Liverpool,0.0,0.0,D,0.0,0.0,D,M Riley,9.0,12.0,2.0,6.0,20.0,14.0,5.0,4.0,3.0,2.0,0.0,0.0,0
52,2007-09-15,Tottenham,Arsenal,1.0,3.0,A,1.0,0.0,H,M Clattenburg,14.0,16.0,5.0,10.0,28.0,22.0,8.0,4.0,2.0,2.0,0.0,0.0,0
57,2007-09-22,Arsenal,Derby,5.0,0.0,H,2.0,0.0,H,M Atkinson,15.0,4.0,9.0,3.0,9.0,12.0,5.0,4.0,1.0,1.0,0.0,0.0,0
59,2007-09-22,Liverpool,Birmingham,0.0,0.0,D,0.0,0.0,D,L Mason,18.0,5.0,4.0,2.0,3.0,10.0,11.0,2.0,0.0,2.0,0.0,0.0,0
73,2007-09-29,West Ham,Arsenal,0.0,1.0,A,0.0,1.0,A,A Wiley,9.0,16.0,4.0,12.0,15.0,14.0,3.0,14.0,2.0,2.0,0.0,0.0,0
74,2007-09-29,Wigan,Liverpool,0.0,1.0,A,0.0,0.0,D,M Clattenburg,9.0,14.0,3.0,10.0,11.0,10.0,5.0,6.0,2.0,1.0,0.0,0.0,0
79,2007-07-10,Arsenal,Sunderland,3.0,2.0,H,2.0,1.0,H,R Styles,18.0,11.0,8.0,7.0,10.0,9.0,8.0,2.0,0.0,2.0,0.0,1.0,0
83,2007-07-10,Liverpool,Tottenham,2.0,2.0,D,1.0,1.0,D,M Halsey,21.0,11.0,9.0,6.0,18.0,10.0,5.0,3.0,0.0,1.0,0.0,0.0,0
87,2007-10-20,Arsenal,Bolton,2.0,0.0,H,0.0,0.0,D,M Riley,19.0,1.0,9.0,0.0,14.0,20.0,5.0,3.0,1.0,5.0,0.0,0.0,0
90,2007-10-20,Everton,Liverpool,1.0,2.0,A,1.0,0.0,H,M Clattenburg,6.0,17.0,1.0,7.0,8.0,14.0,9.0,6.0,1.0,2.0,2.0,0.0,0
105,2007-10-28,Liverpool,Arsenal,1.0,1.0,D,1.0,0.0,H,H Webb,11.0,11.0,8.0,4.0,16.0,10.0,4.0,1.0,3.0,3.0,0.0,0.0,0
107,2007-03-11,Arsenal,Man United,2.0,2.0,D,0.0,1.0,A,H Webb,16.0,10.0,6.0,4.0,15.0,15.0,3.0,4.0,1.0,2.0,0.0,0.0,0
109,2007-03-11,Blackburn,Liverpool,0.0,0.0,D,0.0,0.0,D,M Atkinson,15.0,11.0,7.0,7.0,7.0,11.0,6.0,3.0,0.0,1.0,0.0,0.0,0
118,2007-10-11,Liverpool,Fulham,2.0,0.0,H,0.0,0.0,D,S Tanner,20.0,5.0,12.0,3.0,9.0,12.0,8.0,2.0,0.0,2.0,0.0,0.0,0
126,2007-12-11,Reading,Arsenal,1.0,3.0,A,0.0,1.0,A,R Styles,8.0,16.0,5.0,7.0,9.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0
127,2007-11-24,Arsenal,Wigan,2.0,0.0,H,0.0,0.0,D,P Walton,13.0,7.0,6.0,2.0,9.0,17.0,7.0,3.0,1.0,4.0,0.0,0.0,0
134,2007-11-24,Newcastle,Liverpool,0.0,3.0,A,0.0,1.0,A,A Wiley,6.0,17.0,2.0,11.0,13.0,11.0,0.0,8.0,3.0,1.0,0.0,0.0,0
138,2007-01-12,Aston Villa,Arsenal,1.0,2.0,A,1.0,2.0,A,C Foy,11.0,14.0,5.0,9.0,16.0,10.0,4.0,7.0,3.0,2.0,0.0,0.0,0
145,2007-02-12,Liverpool,Bolton,4.0,0.0,H,2.0,0.0,H,S Bennett,23.0,6.0,14.0,3.0,11.0,14.0,5.0,5.0,0.0,3.0,0.0,0.0,0
148,2007-05-12,Newcastle,Arsenal,1.0,1.0,D,0.0,1.0,A,M Dean,12.0,6.0,8.0,2.0,9.0,10.0,6.0,6.0,3.0,2.0,0.0,0.0,0
154,2007-08-12,Reading,Liverpool,3.0,1.0,H,1.0,1.0,D,A Marriner,7.0,15.0,4.0,5.0,10.0,10.0,7.0,7.0,0.0,1.0,0.0,0.0,0
157,2007-09-12,Middlesbrough,Arsenal,2.0,1.0,H,1.0,0.0,H,H Webb,13.0,7.0,7.0,4.0,15.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0,0
167,2007-12-16,Arsenal,Chelsea,1.0,0.0,H,1.0,0.0,H,A Wiley,11.0,10.0,5.0,7.0,19.0,12.0,3.0,5.0,5.0,5.0,0.0,0.0,0
168,2007-12-16,Liverpool,Man United,0.0,1.0,A,0.0,1.0,A,M Halsey,19.0,5.0,6.0,3.0,14.0,13.0,3.0,3.0,2.0,3.0,0.0,0.0,0
169,2007-12-22,Arsenal,Tottenham,2.0,1.0,H,0.0,0.0,D,R Styles,9.0,10.0,5.0,5.0,10.0,10.0,5.0,1.0,1.0,3.0,0.0,0.0,0
173,2007-12-22,Liverpool,Portsmouth,4.0,1.0,H,2.0,0.0,H,M Riley,14.0,9.0,7.0,3.0,13.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,0
181,2007-12-26,Derby,Liverpool,1.0,2.0,A,0.0,1.0,A,A Wiley,9.0,22.0,4.0,10.0,9.0,9.0,2.0,7.0,1.0,0.0,0.0,0.0,0
183,2007-12-26,Portsmouth,Arsenal,0.0,0.0,D,0.0,0.0,D,S Bennett,9.0,12.0,6.0,6.0,15.0,9.0,4.0,7.0,2.0,1.0,0.0,0.0,0
191,2007-12-29,Everton,Arsenal,1.0,4.0,A,1.0,0.0,H,M Atkinson,10.0,10.0,3.0,7.0,14.0,13.0,10.0,2.0,0.0,5.0,1.0,1.0,0
198,2007-12-30,Man City,Liverpool,0.0,0.0,D,0.0,0.0,D,U Rennie,4.0,19.0,3.0,11.0,4.0,7.0,2.0,9.0,0.0,1.0,0.0,0.0,0
199,2008-01-01,Arsenal,West Ham,2.0,0.0,H,2.0,0.0,H,C Foy,21.0,15.0,13.0,7.0,5.0,7.0,5.0,7.0,0.0,3.0,0.0,0.0,0
207,2008-02-01,Liverpool,Wigan,1.0,1.0,D,0.0,0.0,D,S Bennett,15.0,6.0,11.0,1.0,13.0,16.0,4.0,1.0,2.0,1.0,0.0,0.0,0
209,2008-12-01,Arsenal,Birmingham,1.0,1.0,D,1.0,0.0,H,P Dowd,16.0,2.0,9.0,2.0,8.0,10.0,14.0,3.0,1.0,2.0,0.0,0.0,0
